"Model","AIC","Brier","cv_err","diffAIC","diffBrier","diffCV"
"nat_lag1_int",181374.886565,0.012403,0.012404,0,3e-06,3e-06
"nat_int",182798.357876,0.0124,0.012401,1423.471311,0,0
"nat_lag1_wave",185516.615047,0.012445,0.012446,4141.728482,4.5e-05,4.5e-05
"nat_lag2_int",185808.056577,0.012509,0.01251,4433.170012,0.000109,0.000109
"nat_wave",186018.701267,0.012436,0.012436,4643.814702,3.5e-05,3.5e-05
"nat_lag2_wave",188291.010541,0.012526,0.012527,6916.123976,0.000126,0.000126
"nat_lag1",192320.864089,0.012608,0.012608,10945.977524,0.000208,0.000208
"nat_lag2",192875.144761,0.012621,0.012621,11500.258195,0.000221,0.000221
"nat",193681.749078,0.012612,0.012612,12306.862513,0.000211,0.000211
"msoa_int",193694.100806,0.012565,0.012566,12319.214241,0.000165,0.000165
"msoa_wave",193697.824311,0.012566,0.012566,12322.937746,0.000166,0.000166
"msoa_lag1_int",194882.636609,0.012586,0.012587,13507.750044,0.000186,0.000186
"msoa_lag1_wave",194891.741582,0.012587,0.012587,13516.855017,0.000187,0.000187
"msoa",195339.846039,0.012599,0.0126,13964.959474,0.000199,0.000199
"msoa_lag1",196108.455353,0.01261,0.012611,14733.568788,0.00021,0.00021
"msoa_lag2_int",197100.761573,0.012615,0.012615,15725.875008,0.000215,0.000215
"msoa_lag2_wave",197161.156984,0.012616,0.012616,15786.270419,0.000216,0.000215
"msoa_lag2",197867.460402,0.012629,0.012629,16492.573837,0.000228,0.000228
"base",203223.3559,0.012679,0.012679,21848.469335,0.000279,0.000278
"base_wave",203224.96299,0.012679,0.012679,21850.076425,0.000279,0.000279
